"ESTRATO","DEPARTAMENTO","SEXO","EDAD","ESTADO_CIVIL","EDUCACION","FORMAL","HORAS_TRAB_SEM","BUSC_TRAB","TRAB_VEN","INGRESO_D_P","INGRESO_E_P","INGRESO_D_S","INGRESO_E_S","REMESAS_V","REMESAS_O"
3,"ANCASH",1,29,1,9,2,60,1,2,370,80,NA,NA,2,NA
3,"ANCASH",2,25,5,3,1,91,2,1,450,0,NA,NA,1,NA
3,"ANCASH",1,54,1,3,1,84,2,1,300,21,NA,NA,1,NA
3,"ANCASH",2,32,5,10,NA,30,2,2,NA,NA,NA,NA,1,NA
3,"ANCASH",2,47,4,8,2,16,1,1,80,0,NA,NA,NA,NA
3,"ANCASH",1,43,1,10,NA,84,2,1,NA,NA,NA,NA,1,NA
3,"ANCASH",1,22,1,8,1,58,2,1,240,0,120,0,NA,NA
3,"ANCASH",2,25,1,9,2,54,2,2,950,0,NA,NA,1,NA
3,"ANCASH",2,20,1,6,2,30,2,2,120,32,NA,NA,1,NA
3,"ANCASH",1,21,1,6,2,60,2,1,400,48,NA,NA,1,NA
3,"ANCASH",1,20,1,6,2,72,2,1,1300,96,NA,NA,1,NA
3,"ANCASH",1,35,1,3,NA,25,1,1,NA,NA,NA,NA,2,NA
3,"ANCASH",1,31,1,6,2,84,2,1,35,0,NA,NA,NA,NA
3,"ANCASH",2,29,1,6,NA,12,1,1,NA,NA,NA,NA,1,1
4,"ANCASH",1,25,6,6,NA,77,2,1,NA,NA,NA,NA,1,NA
4,"ANCASH",2,24,5,9,2,70,2,2,300,40,NA,NA,NA,NA
4,"ANCASH",1,42,2,9,NA,0,1,1,NA,NA,NA,NA,NA,NA
3,"ANCASH",1,28,1,6,2,84,2,1,840,56,NA,NA,3,NA
3,"ANCASH",2,25,1,6,1,84,2,1,930,0,NA,NA,2,NA
3,"ANCASH",1,19,6,6,1,60,2,1,1000,0,NA,NA,2,NA
3,"ANCASH",1,26,1,3,2,63,2,1,350,0,NA,NA,NA,NA
3,"ANCASH",2,20,1,3,2,48,2,2,450,40,NA,NA,NA,NA
3,"ANCASH",1,32,2,8,1,45,1,1,270,0,NA,NA,NA,NA
3,"ANCASH",2,33,2,8,2,40,2,1,175,0,NA,NA,NA,NA
4,"ANCASH",1,21,1,3,2,71,2,1,360,42,303,0,2,NA
5,"ANCASH",1,19,6,NA,NA,50,1,2,NA,NA,NA,NA,NA,NA
4,"ANCASH",1,29,6,6,2,60,2,1,300,0,NA,NA,1,NA
4,"ANCASH",1,64,4,NA,NA,60,2,1,NA,NA,NA,NA,1,NA
4,"ANCASH",2,24,6,6,2,66,2,2,240,0,NA,NA,1,NA
4,"ANCASH",1,29,1,6,2,63,2,1,350,0,NA,NA,NA,NA
4,"ANCASH",2,31,1,5,2,56,2,2,560,0,NA,NA,NA,NA
4,"ANCASH",1,51,1,NA,1,60,2,1,450,0,NA,NA,NA,NA
4,"ANCASH",2,37,1,4,2,18,2,1,140,0,NA,NA,NA,NA
4,"ANCASH",1,51,5,6,2,40,2,1,350,0,NA,NA,1,NA
4,"ANCASH",1,20,1,5,2,40,2,2,350,0,NA,NA,NA,NA
3,"ANCASH",1,27,1,5,2,52,2,1,400,0,NA,NA,2,NA
3,"ANCASH",2,27,1,5,2,48,2,2,300,0,NA,NA,NA,NA
3,"ANCASH",1,21,6,5,2,39,2,1,200,25,NA,NA,1,NA
3,"ANCASH",1,32,1,6,2,72,2,1,700,0,NA,NA,NA,NA
3,"ANCASH",2,36,1,10,2,72,2,1,700,0,NA,NA,NA,NA
3,"ANCASH",1,32,6,8,1,54,1,1,270,66,NA,NA,1,NA
3,"ANCASH",1,33,1,5,NA,77,2,1,NA,NA,NA,NA,1,NA
3,"ANCASH",1,36,5,6,NA,60,2,1,NA,NA,NA,NA,1,NA
3,"ANCASH",1,38,6,6,NA,56,2,1,NA,NA,NA,NA,NA,NA
3,"ANCASH",1,42,2,NA,2,31,2,1,450,30,NA,NA,NA,NA
3,"ANCASH",1,51,1,NA,1,40,2,1,300,0,NA,NA,NA,NA
2,"ANCASH",1,43,1,5,2,48,2,1,465,0,NA,NA,NA,NA
2,"ANCASH",2,38,1,10,2,48,2,1,500,0,NA,NA,NA,NA
2,"ANCASH",2,26,1,9,NA,60,2,1,NA,NA,NA,NA,1,NA
2,"ANCASH",1,30,1,6,NA,60,1,1,NA,NA,NA,NA,NA,NA
2,"ANCASH",2,18,1,6,NA,60,2,1,NA,NA,NA,NA,1,NA
2,"ANCASH",1,45,6,3,2,60,2,1,1200,0,NA,NA,2,NA
2,"ANCASH",2,23,6,9,NA,56,2,2,NA,NA,NA,NA,1,NA
2,"ANCASH",2,21,6,6,2,48,2,2,50,0,NA,NA,1,NA
2,"ANCASH",2,21,6,5,2,30,1,2,60,0,NA,NA,NA,NA
2,"ANCASH",1,16,6,NA,2,36,2,2,150,0,NA,NA,NA,NA
2,"ANCASH",1,30,1,3,NA,35,2,1,NA,NA,NA,NA,2,NA
2,"ANCASH",2,30,1,3,NA,35,2,2,NA,NA,NA,NA,1,NA
2,"ANCASH",1,24,1,4,2,84,2,1,300,0,NA,NA,1,NA
2,"ANCASH",2,42,1,3,NA,84,2,1,NA,NA,NA,NA,1,NA
2,"ANCASH",1,17,6,3,2,84,2,2,250,0,NA,NA,1,NA
2,"ANCASH",2,39,1,6,2,39,2,1,400,0,NA,NA,2,NA
2,"ANCASH",1,20,1,6,2,52,2,2,430,0,NA,NA,2,NA
2,"ANCASH",1,29,6,6,2,72,2,1,300,30,NA,NA,1,NA
2,"ANCASH",2,40,5,6,2,66,2,1,300,42,260,0,1,NA
2,"ANCASH",1,29,1,5,2,56,2,1,40,5,NA,NA,2,NA
2,"ANCASH",2,24,1,6,NA,56,2,2,NA,NA,NA,NA,1,NA
2,"ANCASH",1,23,6,5,2,70,1,1,500,98,NA,NA,NA,NA
2,"ANCASH",1,32,1,6,2,72,2,1,215,45,NA,NA,NA,NA
2,"ANCASH",2,26,1,8,2,66,2,2,310,0,NA,NA,NA,NA
2,"ANCASH",1,29,1,7,2,62,2,2,360,0,NA,NA,NA,NA
2,"ANCASH",1,52,2,5,2,70,2,1,330,0,NA,NA,NA,NA
2,"ANCASH",1,21,6,6,2,54,2,1,300,0,NA,NA,2,NA
2,"ANCASH",1,29,2,3,2,70,2,1,600,0,NA,NA,1,NA
2,"ANCASH",2,28,2,8,2,66,2,2,450,0,NA,NA,1,NA
2,"ANCASH",1,16,6,3,2,70,2,2,300,0,NA,NA,1,NA
2,"ANCASH",2,47,6,6,NA,10,1,1,NA,NA,NA,NA,1,NA
2,"ANCASH",1,28,1,5,NA,72,2,2,NA,NA,NA,NA,1,NA
2,"ANCASH",2,30,1,3,2,72,2,1,450,0,NA,NA,1,NA
2,"ANCASH",1,36,1,3,NA,60,1,1,NA,NA,NA,NA,1,NA
2,"ANCASH",2,18,6,NA,2,48,1,1,240,0,NA,NA,1,NA
