"ESTRATO","DEPARTAMENTO","P204","P205A","P612","P613","P614T","P615T","P617","P619","P621","P6221","P6222","P625","P635","P636","P6381","P6382","P6383","P6384","P6391","P6392"
3,"CALLAO",1,23,1,1,40,48,2,2,4,1200,140,2,2,1,2,2,2,2,1,2
3,"CALLAO",1,36,1,2,20,84,2,2,3,850,0,2,2,2,2,2,2,2,1,2
3,"CALLAO",1,31,1,2,3,60,2,2,2,400,0,2,2,1,2,2,2,2,1,2
2,"CALLAO",1,28,1,2,4,72,1,2,2,180,0,1,2,1,2,2,2,2,1,2
2,"CALLAO",1,27,1,2,4,72,1,2,2,400,0,2,2,1,2,2,2,2,1,2
2,"CALLAO",1,20,1,2,3,84,2,2,2,120,0,1,1,1,2,2,2,2,2,2
2,"CALLAO",1,26,1,2,3,72,2,1,2,210,48,2,2,1,2,2,2,2,1,2
2,"CALLAO",1,36,1,2,0,72,2,2,4,1200,0,1,1,1,2,2,2,2,1,2
2,"CALLAO",1,37,1,2,45,66,2,2,4,1000,0,1,2,1,2,2,2,2,1,2
2,"CALLAO",1,39,1,2,40,12,1,1,4,1100,0,1,2,1,2,2,2,2,1,2
2,"CALLAO",1,32,1,2,3,72,2,2,4,1000,0,2,2,1,2,2,2,2,1,2
2,"CALLAO",1,34,1,2,3,72,1,2,2,250,0,2,2,1,2,2,2,2,1,2
2,"CALLAO",1,47,1,2,5,0,1,1,4,1000,0,2,2,1,2,2,2,2,1,2
2,"CALLAO",2,47,1,2,24,48,1,1,3,425,0,2,2,1,2,2,2,2,1,2
2,"CALLAO",2,34,2,2,1,84,2,2,4,900,0,1,2,1,2,2,2,2,1,2
2,"CALLAO",2,33,1,2,15,62,1,2,3,1100,0,2,1,1,2,2,2,2,1,2
2,"CALLAO",2,29,1,2,2,60,1,2,4,800,50,2,1,1,2,2,2,2,1,2
3,"CALLAO",1,39,1,2,2,72,1,1,3,500,0,2,2,1,2,2,2,2,1,2
3,"CALLAO",1,51,1,2,5,60,1,2,2,400,0,1,2,1,2,2,2,2,1,2
