"ESTRATO","DEPARTAMENTO","P204","P205_A","P612","P613","P614_T","P615_T","P617","P619","P621","P622_1","P622_2","P625","P635","P636","P638_1","P638_2","P638_3","P638_4","P639_1","P639_1_1","P639_1_2","P639_1_3","P639_2"
2,"AREQUIPA",1,26,4,2,6,60,1,1,3,500,150,1,3,1,2,2,2,2,1,1,4,1,2
2,"AREQUIPA",2,27,3,2,12,66,1,1,4,900,150,2,3,1,2,2,2,2,1,1,4,1,2
2,"AREQUIPA",1,25,4,2,20,76,2,2,4,2500,0,1,3,2,2,2,2,2,1,2,3,3,2
2,"AREQUIPA",2,25,3,2,3,48,2,2,2,175,60,1,3,1,2,2,2,2,1,1,3,2,2
2,"AREQUIPA",1,28,4,2,10,62,1,1,2,360,60,1,3,1,2,2,2,2,1,2,4,2,2
3,"AREQUIPA",2,31,3,2,2,65,2,2,2,100,0,1,3,1,2,2,2,1,2,NA,NA,NA,2
3,"AREQUIPA",1,39,4,2,30,72,2,2,3,300,0,1,1,1,2,2,2,2,1,1,4,3,2
3,"AREQUIPA",1,35,3,2,60,66,2,2,4,1250,0,2,3,1,2,2,2,2,1,2,4,1,2
3,"AREQUIPA",2,34,4,2,10,7,2,2,1,50,15,2,3,1,2,2,2,2,2,NA,NA,NA,2
3,"AREQUIPA",1,27,3,2,60,70,2,2,4,1300,0,2,3,1,2,2,2,2,1,2,5,2,2
3,"AREQUIPA",1,30,7,2,35,54,1,1,NA,NA,NA,2,3,1,2,2,2,2,1,3,2,2,2
3,"AREQUIPA",2,34,3,2,2,66,1,1,1,30,7,1,2,1,2,2,2,2,1,1,2,1,2
3,"AREQUIPA",1,34,4,1,1,55,2,2,4,1400,0,1,3,1,2,2,2,2,1,1,2,1,2
3,"AREQUIPA",2,37,3,1,1,42,2,2,4,2600,0,2,3,1,2,2,2,2,1,2,3,2,2
3,"AREQUIPA",1,32,4,1,17,60,2,2,4,950,0,1,3,1,2,2,2,2,2,NA,NA,NA,2
